PM2.5,PM10,NO2,SO2,CO,O3,AQI
54.95,84.03,2.43,10.34,238.21,166.12,219
54.95,84.03,2.43,10.34,238.21,166.12,219
30.26,54.5,0.88,3.37,160,109.35,185
17.97,25.93,10.63,1.57,316.66,79.83,112
51.28,79.94,2.27,9.65,235.05,150.76,213
51.28,79.94,2.27,9.65,235.05,150.76,213
51.28,79.94,2.27,9.65,235.05,150.76,213
51.28,79.94,2.27,9.65,235.05,150.76,213
29.08,53.27,0.89,3.18,157.09,108.2,183
51.28,79.94,2.27,9.65,235.05,150.76,213
51.28,79.94,2.27,9.65,235.05,150.76,213
93.28,117.17,3.06,16.34,341.91,224.71,242
93.28,117.17,3.06,16.34,341.91,224.71,242
67.42,99.75,1.59,11.44,235.4,172.39,222
93.28,117.17,3.06,16.34,341.91,224.71,242
93.28,117.17,3.06,16.34,341.91,224.71,242
93.28,117.17,3.06,16.34,341.91,224.71,242
93.28,117.17,3.06,16.34,341.91,224.71,242
67.42,99.75,1.59,11.44,235.4,172.39,222
93.28,117.17,3.06,16.34,341.91,224.71,242
93.28,117.17,3.06,16.34,341.91,224.71,242
97.05,115.45,3.33,13.15,337.11,210.27,236
117.86,161.31,2.21,13.43,342.64,203.17,234
97.05,115.45,3.33,13.15,337.11,210.27,236
117.86,161.31,2.21,13.43,342.64,203.17,234
25.11,39.53,8.13,1.75,281.16,93.76,146
12.46,24.04,7.91,5.43,220.91,81.37,115
3.38,6.87,1.91,0.2,250.63,100.22,163
73.04,104.05,10.75,22.57,336.82,163.09,218
14.53,24.29,2.05,2.57,165.76,78.66,109
29.82,38.88,1.05,5.02,180.64,114.67,199
29.83,39.52,0.88,5.96,178.79,111.48,191
29.83,39.52,0.88,5.96,178.79,111.48,191
40.04,80.01,1.8,2.82,153.1,100.43,163
40.04,80.01,1.8,2.82,153.1,100.43,163
28.75,68.25,0.57,1.91,119.49,92.21,143
7.19,20.43,0.26,0.14,101.1,58.3,49
44.59,72.44,4.33,9.21,224.76,90.33,138
39.11,92.16,2.1,4.41,146.81,87.36,130
